category,city,name,site_lat,site_lng,site_name,start_time,end_time
电子电力,广州市,2018第三届亚太电池技术展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/16,2018/8/18
机械工业,东莞市,2018华南东莞国际空压机及气动技术展览会,22.9062441,113.6672813,广东现代国际展览中心,2018/6/12,2018/6/14
汽摩配件,上海市,2018上海国际充电桩展览会,31.18839541,121.4965025,上海世博展览馆,2018/6/11,2018/6/13
建材五金,上海市,延期2018上海国际金属板材加工技术展览会,31.18839541,121.4965025,上海世博展览馆,2018/6/11,2018/6/13
安全防护,乌鲁木齐市,2018第五届中国亚欧安防博览会暨2018第十四届新疆警用反恐技术装备博览会,43.88420073,87.62754646,新疆国际会展中心,2018/8/16,2018/8/18
纺织纺机,东莞市,2018东莞国际纺织品印花技术展览会,22.9062441,113.6672813,广东现代国际展览中心,2018/6/12,2018/6/14
能源矿产,广州市,2018第十届广州国际太阳能光伏展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/16,2018/8/18
暖通制冷,广州市,2018第十四届广州国际电热技术与设备展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/16,2018/8/18
体育休闲,西安市,2018陕西体育博览会,34.20211625,108.957183,西安曲江国际会展中心,2018/8/17,2018/8/19
音响乐器,青岛市,2018中国青岛国际乐器音响声光及音乐产业博览会,36.1052149,120.3844282,青岛华秀国际会展中心,2018/8/17,2018/8/20
机械工业,上海市,2018上海国际工业自动化技术及装备展览会,31.18839541,121.4965025,上海世博展览馆,2018/6/26,2018/6/28
机械工业,广州市,第四届中国国际广州砂石及尾矿与建筑废弃物处置技术与设备展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/18,2018/8/20
机械工业,北京市,2018第二十一届中国北京国际科技产业博览会,39.96787965,116.4497403,中国国际展览中心,2018/5/17,2018/5/20
环保水处理,昆明市,2018第八届昆明国际给排水水处理展览会,25.0153581,102.7377783,昆明国际会展中心,2018/8/16,2018/8/18
建材五金,广州市,2018年中国广州国际制砖砌块工业技术装备展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/18,2018/8/20
孕婴童,成都市,2018第八届成都国际孕婴童产品博览会,30.56346114,104.0817295,成都世纪城新国际会展中心,2018/8/17,2018/8/19
